,modelo_id,modelo,marca,comb,version,engine,category,transmission_type,doors,hp,valves
1224,9455,COMPASS LIMITED T270 1.3 TB 4x2 Flex Aut,Jeep,Gasolina,1.3,Flex,,Auto,,,
1225,7759,COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.,Jeep,Gasolina,2.0,Flex,,Auto,,,16
1226,7761,COMPASS SPORT 2.0 4x2 Flex 16V Aut.,Jeep,Gasolina,2.0,Flex,,Auto,,,16
1227,7762,COMPASS TRAILHAWK 2.0 4x4 Dies. 16V Aut.,Jeep,Diesel,2.0,Other,,Auto,,,16
1228,1378,Grand Cherokee Laredo 4.0 Aut.,Jeep,Gasolina,4.0,,,Auto,,,
1232,4200,Grand Cherokee Overland 5.7 326cv,Jeep,Gasolina,5.7,,,,,3,
1233,8056,Renegade Limited 1.8 4x2 Flex 16V Aut.,Jeep,Gasolina,1.8,Flex,,Auto,,,16
1234,7186,Renegade Longitude 1.8 4x2 Flex 16V Aut.,Jeep,Gasolina,1.8,Flex,,Auto,,,16
1236,7189,Renegade Sport 1.8 4x2 Flex 16V Mec.,Jeep,Gasolina,1.8,Flex,Sport,Manual,,,16
1237,10680,Renegade T270 1.3 TB 4x2 Flex Aut.,Jeep,Gasolina,1.3,Flex,,Auto,,,
1239,8665,Wrangler SAHARA 2.0 4x4 271cv 2p Aut.,Jeep,Gasolina,2.0,,,Auto,2,2,
1241,4851,TOPIC ESCOLAR L 2.2 8V/ 2.0 16V 4p,JINBEI,Gasolina,2.2,Other,,,4,,8
1242,4854,TOPIC VAN L 2.2 8V/ 2.0 16V 4p,JINBEI,Gasolina,2.2,Other,,,4,,8
1243,6108,TOPIC VAN Lon./GRAN TOPIC SL,JINBEI,Gasolina,,,,,,,
1244,1387,Jipe Montez Std 4x4 Teto de Lona Diesel,JPX,Diesel,,Diesel,,,,,
1245,1388,Jipe Montez Std 4x4 Teto Rígido Diesel,JPX,Diesel,,Diesel,,,,,
1247,1392,Besta Furgão 2.2 Diesel,Kia Motors,Diesel,2.2,Diesel,,,,,
1248,1395,Besta GS 2.7 8V 12L Diesel,Kia Motors,Diesel,2.7,Other,,,,,8
1249,1399,Bongo K-2400 2.4 Diesel,Kia Motors,Diesel,2.4,Diesel,,,,,
1252,4140,Bongo K-2700 2.7 4x4 Basculante Diesel,Kia Motors,Diesel,2.7,Diesel,,,,,
1253,4684,Carens EX 2.0 16V  Aut.,Kia Motors,Gasolina,2.0,Other,,Auto,,,16
1254,1405,Carnival 2.5 V6,Kia Motors,Gasolina,2.5,V6/V8,,,,,
1257,6442,Cerato 1.6 16V  Flex  Aut.,Kia Motors,Gasolina,1.6,Other,,Auto,,,16
1258,4121,Magentis EX 2.0 16V Aut.,Kia Motors,Gasolina,2.0,Other,,Auto,,,16
1259,4891,MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.,Kia Motors,Diesel,3.0,V6/V8,,Auto,,2,24
1264,5249,Sorento 2.4 16V 4x2 Aut.,Kia Motors,Gasolina,2.4,Other,,Auto,,,16
1265,5250,Sorento 2.4 16V 4x4 Aut.,Kia Motors,Gasolina,2.4,Other,,Auto,,,16
1266,1420,Sorento EX 2.5 140/170cv 4x4 Aut.Diesel,Kia Motors,Diesel,2.5,Diesel,,Auto,,1,
1267,4978,SOUL 1.6/ 1.6 16V FLEX Mec.,Kia Motors,Gasolina,1.6,Other,,Manual,,,16
1268,4477,Sportage EX 2.0 16V Mec.,Kia Motors,Gasolina,2.0,Other,Sport,Manual,,,16
1269,1437,Laika 1.6,Lada,Gasolina,1.6,,,,,,
1270,1441,Niva 1.7i 4x4,Lada,Gasolina,,,,,,,
1271,5376,Gallardo Coupe Superleggera LP570-4,LAMBORGHINI,Gasolina,,,Coupe,,,,
1272,8958,HURACAN EVO Coupe LP 640-4,LAMBORGHINI,Gasolina,,,Coupe,,,,
1273,8545,URUS LP-650-4,LAMBORGHINI,Gasolina,,,,,,,
1274,4532,Defender 110 2.4 122cv T.Diesel,Land Rover,Diesel,2.4,Diesel,,,,1,
1275,1448,Defender 110 TDI County SW Diesel,Land Rover,Diesel,,Diesel,,,,,
1276,1449,Defender 110 TDI SW Diesel,Land Rover,Diesel,,Diesel,,,,,
1279,1452,Defender 130 TDI CD Diesel,Land Rover,Diesel,,Diesel,Pickup,,,,
1284,1457,Defender 90 TDI SW Diesel,Land Rover,Diesel,,Diesel,,,,,
