fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2013,1,G,Gasolina,26874
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2012,1,G,Gasolina,24469
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2011,1,G,Gasolina,21908
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2010,1,G,Gasolina,20157
004420-2,310,2024,6,1,23,GM - Chevrolet,6175,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2019,1,G,Gasolina,60199
004420-2,310,2024,6,1,23,GM - Chevrolet,6175,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2016,1,G,Gasolina,50667
004004-5,310,2024,6,1,23,GM - Chevrolet,1014,Corsa GL 1.6 MPFI / 1.4 EFI 2p e 4p,1995,1,G,Gasolina,8991
004140-8,310,2024,6,1,23,GM - Chevrolet,1068,Corvette 5.7/ 6.0, 6.2 Conv./Stingray,2008,1,G,Gasolina,390635
004141-6,310,2024,6,1,23,GM - Chevrolet,1069,Corvette 5.7/ 6.0, 6.2 Targa/Stingray,2008,1,G,Gasolina,387838
004141-6,310,2024,6,1,23,GM - Chevrolet,1069,Corvette 5.7/ 6.0, 6.2 Targa/Stingray,2001,1,G,Gasolina,106334
004141-6,310,2024,6,1,23,GM - Chevrolet,1069,Corvette 5.7/ 6.0, 6.2 Targa/Stingray,1992,1,G,Gasolina,82103
004469-5,310,2024,6,1,23,GM - Chevrolet,7619,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,2018,1,G,Gasolina,88879
004037-1,310,2024,6,1,23,GM - Chevrolet,1073,D-20 CD Lx S4T/Tro.Plus/Lx 3.9/4.0 TDies,1990,3,D,Diesel,61547
004035-5,310,2024,6,1,23,GM - Chevrolet,1075,D-20 S / Luxe 3.9/4.0 T.Diesel,1990,3,D,Diesel,62250
004039-8,310,2024,6,1,23,GM - Chevrolet,1079,Ipanema GL/ Flair 2.0 MPFI / EFI 4p,1995,2,Á,Álcool,7896
004042-8,310,2024,6,1,23,GM - Chevrolet,1081,Kadett GL 2.0 MPFI / EFI,1995,1,G,Gasolina,9745
004044-4,310,2024,6,1,23,GM - Chevrolet,1085,Kadett GSi / GS 2.0,1989,1,G,Gasolina,9446
004370-2,310,2024,6,1,23,GM - Chevrolet,5416,MONTANA LS 1.4 ECONOFLEX 8V 2p,2016,1,G,Gasolina,46045
004051-7,310,2024,6,1,23,GM - Chevrolet,1101,Monza Classic SE 2.0 /MPFI e EFI 2p e 4p,1988,1,G,Gasolina,8142
004049-5,310,2024,6,1,23,GM - Chevrolet,1104,Monza GL 2.0 EFI/SL/L/650/Club/Barc.2e4p,1994,1,G,Gasolina,12560
004049-5,310,2024,6,1,23,GM - Chevrolet,1104,Monza GL 2.0 EFI/SL/L/650/Club/Barc.2e4p,1987,1,G,Gasolina,5808
004514-4,310,2024,6,1,23,GM - Chevrolet,8890,ONIX HATCH LT 1.0 12V TB Flex 5p Aut.,2022,1,G,Gasolina,82341
004515-2,310,2024,6,1,23,GM - Chevrolet,8892,ONIX HATCH LTZ 1.0 12V TB Flex 5p Aut.,2020,1,G,Gasolina,75726
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,32000,1,G,Gasolina,119397
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2025,1,G,Gasolina,109458
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2024,1,G,Gasolina,100322
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2023,1,G,Gasolina,88971
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2022,1,G,Gasolina,85051
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2021,1,G,Gasolina,80563
004502-0,310,2024,6,1,23,GM - Chevrolet,8827,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2020,1,G,Gasolina,75870
004503-9,310,2024,6,1,23,GM - Chevrolet,8828,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Mec.,2023,1,G,Gasolina,82386
004503-9,310,2024,6,1,23,GM - Chevrolet,8828,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Mec.,2022,1,G,Gasolina,79131
004503-9,310,2024,6,1,23,GM - Chevrolet,8828,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Mec.,2021,1,G,Gasolina,73138
004503-9,310,2024,6,1,23,GM - Chevrolet,8828,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Mec.,2020,1,G,Gasolina,70492
004054-1,310,2024,6,1,23,GM - Chevrolet,1114,Opala Comodoro/Comod. SLE  4.1/2.5,1992,1,G,Gasolina,61488
004054-1,310,2024,6,1,23,GM - Chevrolet,1114,Opala Comodoro/Comod. SLE  4.1/2.5,1991,1,G,Gasolina,45704
004055-0,310,2024,6,1,23,GM - Chevrolet,1115,Opala Diplomata/Diplom. SLE 4.1/2.5,1985,1,G,Gasolina,20545
004436-9,310,2024,6,1,23,GM - Chevrolet,6532,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2014,1,G,Gasolina,47373
004308-7,310,2024,6,1,23,GM - Chevrolet,1120,S10 Blazer Advant. 2.4/2.4 MPFI F.Power,2006,1,G,Gasolina,37811
004244-7,310,2024,6,1,23,GM - Chevrolet,1128,S10 Blazer Executive 2.8 4x4 TDI Diesel,2004,3,D,Diesel,61434
004413-0,310,2024,6,1,23,GM - Chevrolet,6101,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2019,3,D,Diesel,130020
004413-0,310,2024,6,1,23,GM - Chevrolet,6101,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2013,3,D,Diesel,98510
004397-4,310,2024,6,1,23,GM - Chevrolet,5896,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2021,3,D,Diesel,184591
004397-4,310,2024,6,1,23,GM - Chevrolet,5896,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2014,3,D,Diesel,117847
004322-2,310,2024,6,1,23,GM - Chevrolet,1165,S10 P-Up Advant. 2.4/2.4 MPFI F.Power CD,2006,1,G,Gasolina,42757
004301-0,310,2024,6,1,23,GM - Chevrolet,1143,S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.,2008,3,D,Diesel,61949
004305-2,310,2024,6,1,23,GM - Chevrolet,1170,S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies,2005,3,D,Diesel,56169
004415-6,310,2024,6,1,23,GM - Chevrolet,6103,SPIN LT 1.8 8V Econo.Flex 5p Aut.,2022,1,G,Gasolina,89094
004415-6,310,2024,6,1,23,GM - Chevrolet,6103,SPIN LT 1.8 8V Econo.Flex 5p Aut.,2017,1,G,Gasolina,52700
004414-8,310,2024,6,1,23,GM - Chevrolet,6104,SPIN LT 1.8 8V Econo.Flex 5p Mec.,2022,1,G,Gasolina,76125
004414-8,310,2024,6,1,23,GM - Chevrolet,6104,SPIN LT 1.8 8V Econo.Flex 5p Mec.,2016,1,G,Gasolina,45198
004153-0,310,2024,6,1,23,GM - Chevrolet,1198,Suburban 5.7/6.5 V8/5.3 V8,2010,1,G,Gasolina,199387
004153-0,310,2024,6,1,23,GM - Chevrolet,1198,Suburban 5.7/6.5 V8/5.3 V8,1997,1,G,Gasolina,55468
004062-2,310,2024,6,1,23,GM - Chevrolet,1202,Suprema GLS 2.2 / 2.0,1993,1,G,Gasolina,12148
004525-0,310,2024,6,1,23,GM - Chevrolet,9048,TRACKER Premier 1.2 Turbo 12V Flex Aut.,2020,1,G,Gasolina,107722
004430-0,310,2024,6,1,23,GM - Chevrolet,6269,TRAILBLAZER LTZ 3.6 V6  Aut.,2016,1,G,Gasolina,121685
004430-0,310,2024,6,1,23,GM - Chevrolet,6269,TRAILBLAZER LTZ 3.6 V6  Aut.,2015,1,G,Gasolina,106009
004430-0,310,2024,6,1,23,GM - Chevrolet,6269,TRAILBLAZER LTZ 3.6 V6  Aut.,2014,1,G,Gasolina,98906
004430-0,310,2024,6,1,23,GM - Chevrolet,6269,TRAILBLAZER LTZ 3.6 V6  Aut.,2013,1,G,Gasolina,96493
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,32000,3,D,Diesel,354730
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,2024,3,D,Diesel,304370
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,2023,3,D,Diesel,286820
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,2022,3,D,Diesel,246685
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,2021,3,D,Diesel,230519
004498-9,310,2024,6,1,23,GM - Chevrolet,8747,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,2020,3,D,Diesel,202792
004497-0,310,2024,6,1,23,GM - Chevrolet,8748,TRAILBLAZER PREMIER 3.6 V6 Aut.,2020,1,G,Gasolina,195629
